item_id,factory_code,name_spanish,name_hebrew,department,is_anatomical_x9,is_steak,freshness,kosher_type,breed,origin_country,customer
7290008219426,,OJO DE BIFE ANCHO  XL +3.2,סטייק עין מיושן XL בקר מצונן,carne,yes,yes,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219433,,OJO DE BIFE ANCHO   PRIMUEM,סטייק עין   פרימיום בקר מצונן,carne,yes,yes,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219440,,AGUJA,צלעות 2  בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219457,,PECHO,חזה 3  בקר  מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219464,,PECHO RETAIL,חזה 3 צרכני בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219471,,PALETA,כתף מרכזי 4  בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219488,,PALETA RETAIL,כתף מרכזי 44 צרכני  בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219495,,MARUCHA,צלי כתף 5 בקר מצונן,carne,yes,no,CHILLED,MACFUD,normal,Urguay,Off Jerusalem
7290008219587,,,חזה 3 בקר לא מקוצב קפוא מחפוד אורוגוואי,carne,yes,no,FROZEN,MACFUD,normal,Urguay,Off Jerusalem
7290008219662,,TAIL (RABO)  CON HUESO,זנב בקר קפוא עם עצם,CARNE CON HUESO,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219709,,AGUJA,צלעות 2  בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219716,,AGUJA RETAIL,צלעות 22 צרכני בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219723,,PECHO ZG (CHATO),חזה 3  בקר קפוא ZG,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219730,,PALETA,כתף מרכזי 4  בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219747,,PALTA RETAIL,כתף מרכזי 44 צרכני בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219754,,MARUCHA,צלי כתף 5 בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219761,,CHINGOLO,פילה מדומה 6 בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219778,,TAPA DE AGUJA,מכסה הצלע 7 מוסדי בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219785,,TAPA DE AGUJA retail,מכסה הצלע 77 צרכני בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219792,,BRAZUELO 88,שריר הזרוע 88 צרכני בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219808,,COGOTE,צוואר 10   בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219815,,PECHO RETAIL,חזה 33 צרכני בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219822,,COGOTE RETAIL,צוואר 10 צרכני  בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219839,,BRAZUELO 8K BANNITAS,שריר הזרוע מיוחד K8 בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219846,,INTER COSTAL,אצבעות אנטריקוט בקר קפוא,carne,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219853,,GRASA,שומן בקר קפוא,MENUDENCIAS,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219860,,QUJIDA,בשר ראש בקר קפוא,MENUDENCIAS,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219877,,LENGUA,לשון בקר קפוא,MENUDENCIAS,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219884,,TENDONES,גידים בקר קפוא,MENUDENCIAS,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219891,,TAPA DE BEFE 1B,מכסה ורד הצלע (דקל) B1 בקר קפוא,carne,yes,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219907,,TAPA DE BEFE 1BC,מכסה ורד הצלע 1BC בקר קפוא,carne,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219914,,ASADO RETAIL,קשתית (אסאדו) 9  צרכני  בקר קפוא,carne,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
7290008219921,,ASADO,קשתית (אסאדו) 9   בקר קפוא,carne,no,no,FROZEN,Macfud,normal,Urguay,Off Jerusalem
